,Gender,current_employment,WFH
11,Male,full_time,Yes
12,Male,full_time,Yes
16,Male,full_time,Yes
17,Male,full_time,Yes
19,Male,full_time,Yes
20,Male,full_time,Yes
22,Male,full_time,Yes
25,Male,full_time,Yes
28,Male,full_time,Sometimes
29,Male,full_time,Yes
32,Male,full_time,Yes
33,Male,full_time,Yes
43,Male,full_time,Sometimes
48,Male,full_time,Yes
49,Male,full_time,Sometimes
52,Male,full_time,Sometimes
53,Male,full_time,Yes
62,Male,full_time,Yes
64,Male,full_time,Yes
65,Male,full_time,Yes
71,Male,full_time,Yes
74,Male,full_time,Yes
78,Male,full_time,Yes
79,Male,full_time,Yes
81,Male,full_time,Yes
83,Male,full_time,Yes
86,Male,full_time,Yes
89,Male,full_time,Yes
93,Male,full_time,Yes
95,Male,full_time,Yes
97,Male,full_time,Yes
100,Male,full_time,Sometimes
103,Male,full_time,Yes
104,Male,full_time,Yes
108,Male,full_time,Yes
110,Male,full_time,Yes
111,Male,full_time,Yes
112,Male,full_time,Yes
113,Male,full_time,Yes
115,Male,full_time,Sometimes
116,Male,full_time,Sometimes
122,Male,full_time,Yes
123,Male,full_time,Yes
125,Male,full_time,Yes
133,Male,full_time,Sometimes
141,Male,full_time,Yes
147,Male,full_time,Yes
150,Male,full_time,Sometimes
152,Male,full_time,Yes
154,Male,full_time,Yes
157,Male,full_time,Sometimes
160,Male,full_time,Sometimes
162,Male,full_time,Yes
164,Male,full_time,Yes
165,Male,full_time,Yes
166,Male,full_time,Yes
170,Male,full_time,Yes
171,Male,full_time,Yes
173,Male,full_time,Yes
175,Male,full_time,Sometimes
179,Male,full_time,Yes
180,Male,full_time,Yes
184,Male,full_time,Yes
186,Male,full_time,Yes
188,Male,full_time,Yes
189,Male,full_time,Yes
195,Male,full_time,Yes
197,Male,full_time,Sometimes
198,Male,full_time,Sometimes
199,Male,full_time,Yes
201,Male,full_time,Sometimes
202,Male,full_time,Yes
203,Male,full_time,Yes
205,Male,full_time,Yes
211,Male,full_time,Yes
212,Male,full_time,Yes
214,Male,full_time,Yes
215,Male,full_time,Yes
216,Male,full_time,Yes
219,Male,full_time,Yes
220,Male,full_time,Yes
221,Male,full_time,Yes
226,Male,full_time,Yes
229,Male,full_time,Yes
230,Male,full_time,Yes
231,Male,full_time,Sometimes
232,Male,full_time,Yes
233,Male,full_time,Yes
234,Male,full_time,Yes
235,Male,full_time,Yes
237,Male,full_time,Sometimes
244,Male,full_time,Yes
247,Male,full_time,Yes
248,Male,full_time,Yes
253,Male,full_time,Yes
254,Male,full_time,Yes
255,Male,full_time,Yes
256,Male,full_time,Yes
257,Male,full_time,Yes
259,Male,full_time,Yes
265,Male,full_time,Yes
267,Male,full_time,Yes
269,Male,full_time,Yes
271,Male,full_time,Yes
275,Male,full_time,Yes
276,Male,full_time,Yes
278,Male,full_time,Yes
279,Male,full_time,Yes
281,Male,full_time,Yes
282,Male,full_time,Yes
283,Male,full_time,Yes
288,Male,full_time,Yes
290,Male,full_time,Yes
291,Male,full_time,Yes
292,Male,full_time,Yes
294,Male,full_time,Yes
295,Male,full_time,Yes
297,Male,full_time,Yes
298,Male,full_time,Sometimes
302,Male,full_time,Yes
303,Male,full_time,Yes
304,Male,full_time,Yes
308,Male,full_time,Yes
310,Male,full_time,Yes
312,Male,full_time,Yes
313,Male,full_time,Sometimes
321,Male,full_time,Yes
322,Male,full_time,Yes
323,Male,full_time,Yes
324,Male,full_time,Yes
325,Male,full_time,Yes
327,Male,full_time,Sometimes
329,Male,full_time,Yes
330,Male,full_time,Yes
332,Male,full_time,Yes
334,Male,full_time,Yes
335,Male,full_time,Sometimes
338,Male,full_time,Yes
341,Male,full_time,Yes
342,Male,full_time,Yes
343,Male,full_time,Yes
344,Male,full_time,Sometimes
347,Male,full_time,Yes
348,Male,full_time,Sometimes
349,Male,full_time,Yes
350,Male,full_time,Yes
352,Male,full_time,Sometimes
355,Male,full_time,Yes
356,Male,full_time,Sometimes
357,Male,full_time,Yes
358,Male,full_time,Sometimes
360,Male,full_time,Sometimes
362,Male,full_time,Yes
363,Male,full_time,Sometimes
367,Male,full_time,Sometimes
369,Male,full_time,Yes
371,Male,full_time,Yes
373,Male,full_time,Sometimes
383,Male,full_time,Yes
387,Male,full_time,Sometimes
390,Male,full_time,Yes
392,Male,full_time,Yes
397,Male,full_time,Yes
404,Male,full_time,Yes
406,Male,full_time,Yes
412,Male,full_time,Yes
417,Male,full_time,Yes
420,Male,full_time,Sometimes
422,Male,full_time,Yes
424,Male,full_time,Yes
428,Male,full_time,Yes
442,Male,full_time,Sometimes
455,Male,full_time,Sometimes
457,Male,full_time,Yes
458,Male,full_time,Sometimes
461,Male,full_time,Yes
472,Male,full_time,Yes
473,Male,full_time,Yes
474,Male,full_time,Yes
475,Male,full_time,Yes
476,Male,full_time,Yes
477,Male,full_time,Yes
478,Male,full_time,Yes
479,Male,full_time,Sometimes
480,Male,full_time,Yes
481,Male,full_time,Yes
484,Male,full_time,Yes
486,Male,full_time,Yes
488,Male,full_time,Yes
489,Male,full_time,Yes
490,Male,full_time,Yes
492,Male,full_time,Yes
494,Male,full_time,Yes
495,Male,full_time,Yes
496,Male,full_time,Yes
497,Male,full_time,Yes
498,Male,full_time,Yes
499,Male,full_time,Yes
500,Male,full_time,Yes
502,Male,full_time,Yes
504,Male,full_time,Yes
505,Male,full_time,Yes
508,Male,full_time,Sometimes
509,Male,full_time,Yes
510,Male,full_time,Yes
511,Male,full_time,Yes
