,Gender,current_employment,WFH
2,Female,full_time,Yes
5,Female,full_time,Sometimes
9,Female,full_time,Sometimes
15,Female,full_time,Sometimes
21,Female,full_time,Yes
27,Female,full_time,Yes
30,Female,full_time,Sometimes
34,Female,full_time,Yes
35,Female,full_time,Yes
36,Female,full_time,Yes
38,Female,full_time,Yes
41,Female,full_time,Yes
42,Female,full_time,Yes
44,Female,full_time,Yes
45,Female,full_time,Yes
46,Female,full_time,Sometimes
47,Female,full_time,Yes
55,Female,full_time,Yes
61,Female,full_time,Sometimes
67,Female,full_time,Yes
68,Female,full_time,Yes
69,Female,full_time,Yes
70,Female,full_time,Yes
73,Female,full_time,Yes
76,Female,full_time,Yes
82,Female,full_time,Yes
85,Female,full_time,Yes
88,Female,full_time,Sometimes
90,Female,full_time,Yes
91,Female,full_time,Yes
98,Female,full_time,Yes
99,Female,full_time,Yes
102,Female,full_time,Sometimes
105,Female,full_time,Yes
106,Female,full_time,Yes
107,Female,full_time,Yes
109,Female,full_time,Yes
118,Female,full_time,Yes
121,Female,full_time,Yes
124,Female,full_time,Yes
130,Female,full_time,Yes
131,Female,full_time,Yes
134,Female,full_time,Yes
135,Female,full_time,Sometimes
138,Female,full_time,Sometimes
139,Female,full_time,Yes
140,Female,full_time,Sometimes
142,Female,full_time,Yes
144,Female,full_time,Yes
151,Female,full_time,Yes
156,Female,full_time,Yes
158,Female,full_time,Yes
159,Female,full_time,Yes
163,Female,full_time,Yes
167,Female,full_time,Yes
172,Female,full_time,Yes
176,Female,full_time,Yes
177,Female,full_time,Yes
181,Female,full_time,Yes
182,Female,full_time,Yes
183,Female,full_time,Yes
185,Female,full_time,Sometimes
190,Female,full_time,Yes
191,Female,full_time,Yes
196,Female,full_time,Sometimes
200,Female,full_time,Yes
206,Female,full_time,Sometimes
207,Female,full_time,Yes
209,Female,full_time,Yes
210,Female,full_time,Yes
213,Female,full_time,Yes
218,Female,full_time,Yes
222,Female,full_time,Yes
227,Female,full_time,Yes
228,Female,full_time,Yes
236,Female,full_time,Yes
242,Female,full_time,Yes
250,Female,full_time,Yes
260,Female,full_time,Sometimes
261,Female,full_time,Sometimes
264,Female,full_time,Yes
266,Female,full_time,Sometimes
270,Female,full_time,Yes
272,Female,full_time,Yes
286,Female,full_time,Yes
289,Female,full_time,Yes
296,Female,full_time,Yes
299,Female,full_time,Yes
301,Female,full_time,Sometimes
306,Female,full_time,Sometimes
307,Female,full_time,Sometimes
309,Female,full_time,Yes
311,Female,full_time,Sometimes
316,Female,full_time,Yes
317,Female,full_time,Yes
319,Female,full_time,Yes
320,Female,full_time,Yes
326,Female,full_time,Yes
328,Female,full_time,Sometimes
331,Female,full_time,Yes
333,Female,full_time,Yes
336,Female,full_time,Yes
337,Female,full_time,Yes
339,Female,full_time,Yes
340,Female,full_time,Yes
345,Female,full_time,Yes
346,Female,full_time,Yes
351,Female,full_time,Sometimes
353,Female,full_time,Sometimes
354,Female,full_time,Yes
359,Female,full_time,Yes
361,Female,full_time,Yes
364,Female,full_time,Yes
365,Female,full_time,Yes
366,Female,full_time,Yes
368,Female,full_time,Yes
370,Female,full_time,Yes
372,Female,full_time,Yes
376,Female,full_time,Yes
381,Female,full_time,Yes
385,Female,full_time,Sometimes
388,Female,full_time,Yes
389,Female,full_time,Sometimes
395,Female,full_time,Sometimes
399,Female,full_time,Yes
400,Female,full_time,Yes
402,Female,full_time,Yes
403,Female,full_time,Yes
407,Female,full_time,Yes
411,Female,full_time,Yes
414,Female,full_time,Sometimes
419,Female,full_time,Sometimes
429,Female,full_time,Yes
430,Female,full_time,Yes
445,Female,full_time,Yes
451,Female,full_time,Yes
452,Female,full_time,Yes
453,Female,full_time,Yes
464,Female,full_time,Yes
467,Female,full_time,Sometimes
483,Female,full_time,Yes
485,Female,full_time,Sometimes
491,Female,full_time,Yes
493,Female,full_time,Yes
503,Female,full_time,Yes
506,Female,full_time,Yes
507,Female,full_time,Yes
